Regular Hero	Обычный герой
Let's charge in again.	Давай снова рванём.
She cried, "More! More!"	Она кричала: "Ещё! Ещё!"
This is the power of N2!	Это сила N2!
I said Torch!	Я сказал Факел!
I wanna return to the void.	Хочу вернуться в пустоту.
Borders? What's that?	Границы? Это что?
Who will take over being da mastah?	Кто будет следующим хозяином?
This is what I aimed for!	Вот к чему я стремился!
Something's not right here...	Тут что-то не так...
Where did he go?	Куда он делся?
Whatah!	Чеготах!
Kee ahhh!	Кии аххх!
Wow! That's bright.	Вау! Ярко.
Poison, huh?	Яд, да?
He should be around here.	Он должен быть где-то тут.
I'm da mastah...	Я тута хозяин...
Gwahh!	Гвахх!
I shall return you to the Inferno!	Верну тебя в Инферно!
I can't be stopped here.	Меня тут не остановить.
This can't end well.	Это плохо кончится.
Elixir!	Эликсир!
Ninja stars in 8 directions!	Сюрикены в 8 сторон!
A torch...	Факел...
P-poison!	Я-яд!
I won't let them go!	Я их не отпущу!
I'll always be here.	Я всегда буду тут.
We're taking you down!	Мы тебя снесём!
What happened!?	Что случилось!?
Calm down and think this through.	Успокойся и подумай.
Demon Ripper!	Демон-потрошитель!
This is a torch.	Это факел.
Poison, it is?	Яд, так?
I'm paralyzed!	Я парализован!
Where are you!?	Где ты!?
Knowing is only half of it.	Знать — это только половина.
Dark Hero!? Don't make me laugh!	Тёмный герой!? Не смеши меня!
You went too far!	Ты слишком далеко зашёл!
Retreat for now!	Пока отходим!
Fire in the hole!	Огонь в дыру!
Torch Illusion!	Факельная иллюзия!
It's eroding my body.	Это разъедает тело.
Can't do...jumping jacks...	Не могу...прыжки...
D... L...	Д... Л...
We've got to find him.	Нам надо его найти.
That was tricky!	Это было хитро!
There's the Dark Hero!	Вон Тёмный герой!
So many enemies!	Столько врагов!
Retreat, men!	Отход, мужики!
Aurora attack!	Атака авроры!
Lightning Sword!	Меч молнии!
Crystal Torch!	Кристальный факел!
My energy...	Моя энергия...
I lost control of my body!	Я потерял контроль над телом!
Hypnosis...?	Гипноз...?
Regroup!	Перегруппировка!
It's not fair, I fell.	Нечестно, я упал.
I found the Overlord on my own.	Я сам нашёл Повелителя.
Your account has a zero balance.	На счёте ноль.
You can't escape.	Тебе не сбежать.
This torch is fashionable.	Этот факел модный.
I received poisonous damage.	Получил ядовитый урон.
I need my pajamas...	Мне нужны пижамы...
What should I do now?	Что мне теперь делать?
They were too much for me.	Они были слишком сильны для меня.
Don't leave me like this!	Не оставляй меня так!
Let's try this again.	Давай ещё раз.
Don't kill this light.	Не гаси этот свет.
I can lose weight now!	Теперь я похудею!
Paralysis trap!?	Ловушка паралича!?
I'm going to fall asleep.	Я сейчас засну.
Oh, don't look at me without my make-up.	О, не смотри на меня без макияжа.
I've taken quite a fall.	Я здорово упал.
You're coming home with me.	Ты пойдёшь со мной домой.
My poor ally...	Бедный мой союзник...
That's not what the map says.	Карта говорит не так.
Rocking Chase!	Рок-погоня!
Up in flames!	В огне!
Poison, how romantic.	Яд, как романтично.
You bound my feet!?	Ты связал мне ноги!?
I'm losing consciousness.	Я теряю сознание.
I'll be more careful from now on.	Дальше буду осторожнее.
Enter a name.	Введи имя.
Enter your name.	Введи своё имя.
Enter your naaaamahhh!	Введи своё имяяяяяххх!
Enter your name!	Введи своё имя!
Inferno your name!	Инферно твоё имя!
Enter your poison...	Введи свой яд...
Naaammme!	Имяяяя!
Zzz...least enzzzer your name... 	Ззз...хотя бы вввведи имя... 
Enter all your names!	Введи все свои имена!
Who comes after me?	Кто идёт за мной?
Gotcha.	Попался.
That was too soon...	Это было слишком рано...
Huh? Where am I?	А? Где я?
This is not good.	Это плохо.
I'll test my skills!	Проверю свои навыки!
I got ya!	Поймал тебя!
I'll take your mana!	Заберу твою ману!
Hrrgh!	Хрргх!
How's this!?	Ну как!?
Hyahahahaha!	Хьяхахахаха!
Looks good around here.	Тут неплохо выглядит.
Darnit!	Чёрт!
Erghhhh...	Эргхххх...
...Can't keep my eyes...open.	...Глаза...не держатся...открытыми.
You hid well, Overlord.	Хорошо спрятался, Повелитель.
I'll put you to sleep!	Усыплю тебя!
This looks like a good place.	Тут хорошее место.
Now you're all done for!	Теперь вам всем крышка!
I'll leave it to you.	Оставляю это тебе.
I'll set this here just in case.	Поставлю тут на всякий случай.
Let's give this a try.	Давай попробуем.
This is as much as I could do.	Это всё, что я смог.
There you are!	Вот ты где!
You did it.	Ты сделал это.
Come on!	Давай!
Here!	Сюда!
It's mine!	Это моё!
Tahhh!	Таххх!
Wahahaha!	Вахахаха!
Give up already!	Сдавайся уже!
Why don't I leave a torch here or something?	Почему бы не оставить тут факел или что?
Huh!?	А!?
Argh! Para...lysis.	Аргх! Пара...лич.
Wh-why am I so sleepy?	П-почему мне так хочется спать?
This is weird...	Это странно...
Eternal Sleep!	Вечный сон!
I hope you savor this.	Надеюсь, ты это распробуешь.
Blow 'em away!	Сдуй их!
Get 'em!	Бери их!
Save, save...	Сохранить, сохранить...
Wait for me, Badman!	Подожди меня, Бэдмен!
So this is my fate...	Так вот моя судьба...
So this is where you are.	Так вот где ты.
This is strange.	Это странно.
I've searched the depths to find you!	Я обыскал глубины, чтоб найти тебя!
Release energy!	Высвободить энергию!
I'll suck your energy!	Высосу твою энергию!
I'll inhale your mana!	Вдохну твою ману!
I'm sorry!	Прости!
Firada!	Фирада!
I won't be lenient!	Я не буду милостив!
It'll mark our path as well.	Это ещё и путь отметит.
Urgh...is this poison?	Ургх...это яд?
Urgh...paralysis...	Ургх...паралич...
Th-this is so hypnotic.	Э-это так гипнотично.
He's not around here...	Его тут нет...
I'll put you to sleep first.	Сначала усыплю тебя.
HmHmmm...	ХмХммм...
There's no escape for you!	Тебе не сбежать!
Get over here!	Иди сюда!
Let's save for now.	Давай пока сохранимся.
I suppose I've gotta do this.	Видать, придётся это сделать.
Why!?	Почему!?
I finally found you!	Я наконец тебя нашёл!
Say what!?	Чего!?
We gotta do it again?	Надо снова?
I can still go!	Я ещё могу!
Boomshakazulu!	Бумшаказулу!
I'll take your HP!	Заберу твоё ХП!
Grabbing MP!	Хватаю МП!
Disappear into the void!	Исчезни в пустоту!
Go away!	Прочь!
Let's make some light.	Давай сделаем свет.
Anti-toxidant!	Антитоксдант!
What humiliation!	Какое унижение!
Urgh... Zzz...	Ургх... Ззз...
Huh?	А?
Sleep!	Спи!
Mmhm.	Мгм.
Viola!	Вуаля!
Gooo!	Пооошли!
Well, maybe.	Ну, может.
The last roll of the dice.	Последний бросок костей.
Hyahhh!	Хьяххх!
Huh!? Over there!	А!? Вон там!
Then they're gonna get me...	Тогда они меня достанут...
Urgh...I really want to go home...	Ургх...так хочу домой...
I don't wanna die yet!	Я ещё не хочу сдыхать!
I-I'll do it!	Я-я сделаю!
You let your guard down!	Ты ослабил защиту!
Shahhh!	Шаххх!
Fireworks!	Фейерверк!
It's so soothing.	Так успокаивает.
Hey!	Эй!
I-I can't move...	Я-я не могу двигаться...
I can't stay...awake...	Не могу...держаться...в сознании...
Is he this way!?	Он в ту сторону!?
Please sleep now! I beg you!	Пожалуйста, спи сейчас! Умоляю!
Eat this.	Жри это.
Ahahaha!	Ахахаха!
Summoning successful!	Призыв успешен!
Saving is important.	Сохраняться важно.
Since I made it this far...	Раз уж я зашёл так далеко...
This isn't good.	Это плохо.
Woohoo!	Уухуу!
What's going on?	Что происходит?
I'm not even close to finishing!	Я даже близко не закончил!
I refuse to fall!	Я отказываюсь падать!
Here I come!	Вот я иду!
Lucky! 	Повезло! 
Lucky!	Повезло!
Taste this!	Попробуй это!
This light is good.	Этот свет хороший.
This is p-poison!	Это я-яд!
I-I-I can't move...	Я-я-я не могу двигаться...
This is so strange...	Это так странно...
It's time for you to go to bed!	Пора тебе в кровать!
Please eat this.	Пожалуйста, съешь это.
Mmm hehehehe.	Ммм хехехехе.
Thank you, come again!	Спасибо, приходите ещё!
Saved.	Сохранено.
See what they make of this look.	Глянь, что они скажут на этот вид.
I just realized my name is a food...	Я только понял, что моё имя — еда...
I call dibs on the kill!	Труп — мой!
What did I do to deserve this!?	За что мне это всё!?
Let's just heal for now!	Пока просто полечимся!
Now's a good time to die.	Самое время сдохнуть.
Survival!	Выжить!
Suffer from this!	Страдай!
You'll be crispy!	Поджаришься!
I'll rip you apart!	Разорву на части!
I'm relieved all of a sudden.	Вдруг как-то легче.
I feel kinda stiff!	Что-то я закоченел!
I'm suddenly sleepy.	Внезапно спать охота.
Is that the Overlord's energy?	Это энергия Повелителя?
Bait the trap.	Приманка в капкан.
I'll blow them away!	Сдую их всех!
Now, go!	Ну, вперёд!
Now's a good time to save.	Самое время сохраниться.
He he he!	Хе-хе-хе!
What the heck is going on!?	Что, чёрт, творится!?
Don't go yet!	Не уходи ещё!
We can still make it.	Мы ещё успеем.
Heal!	Лечись!
Wooooo!	Ууууу!
I'll suck your vitality dry!	Высосу из тебя жизнь!
How do you like this!?	Ну как тебе это!?
Burn!	Гори!
Fly away!	Лети прочь!
This torch really adds to the decor.	Факел так к обстановке.
D-Darn it!	Ч-чёрт!
Paralysis?	Паралич?
Urgh... Now I'm sleepy.	Ургх... Спать охота.
Hmm...	Хмм...
Sleep, morons!	Спите, болваны!
Are you going to eat it?	Будешь это есть?
Monster created!	Монстр готов!
Let's save.	Сохранимся.
They'll never tell it's me!	Никто не узнает, что это я!
I leave the rest to you...	Остальное за тобой...
I found you!	Нашёл тебя!
Kaila was defeated!?	Кайла пала!?
Don't panic!	Без паники!
Let's do some healing!	Давай подлечимся!
...Now's the time!	...Вот оно, время!
I think I'll drain your vitality.	Кажется, высосу твою жизнь.
Get lost!	Проваливай!
Erupting Volcano!	Вулкан, извергайся!
Channel Tornado!	Смерч по каналу!
Let this be evidence of my journey.	Пусть это будет след пути.
He's not here?	Его тут нет?
Please go to sleep!	Ну же, засыпайте!
Hmm.	Хмм.
It's not pretty, but...	Некрасиво, но...
Hmph. Do I have to do this?	Хмф. Я обязан это делать?
Stay still!	Не дёргайся!
What did you do to him!?	Что ты с ним сделал!?
Don't go easy on me just cuz I'm a chick!	Не щади, я ж девчонка!
Hey, hey, hey!	Эй, эй, эй!
Your MP is mine!	Твои МП — мои!
Don't touch me!	Не трогай меня!
Bang!!	Бах!!
Sheeesh!	Ёлки!
I don't like the dark. It's creepy.	Темнота — это жутко.
Aww, poison...	Ой, яд...
Urgh...	Ургх...
(yawn) I'm sleepy.	(зевок) Спать охота.
Sleep already!	Да спи уже!
Hehehe.	Хехехе.
Run!	Беги!
Don't be scared.	Не бойся.
Nobody say "cosplay".	Только не говорите "косплей".
Earthlingish	Землянинчик
"I like to wake up early."	"Люблю вставать спозаранку."
My mission is not complete...	Миссия ещё не выполнена...
Your location has been found.	Ваше местоположение найдено.
Luffy!!	Луффи!!
I never give up!	Я никогда не сдаюсь!
Restoring optimal conditions!	Восстанавливаю оптимум!
Attack program set!	Программа атаки задана!
I can reroute your HP!	Перенаправлю твои ХП!
I claim your mana!	Забираю твою ману!
Countermeasures deployed!	Контрмеры задействованы!
I hope you find this satisfactory!	Надеюсь, вас это устроит!
Galaxy Tornado!	Галактический смерч!
Deploying Photon Emitter!	Запускаю фотонный луч!
Erosion detected.	Обнаружена эрозия.
My limbs are offline.	Конечности отключены.
Power supply depleted...	Питание исчерпано...
Navigational systems disrupted.	Навигация сбита.
Consume this.	Съешь это.
Escape!	Бегство!
Display extreme effort.	Проявить крайнее усилие.
Uploading to backup storage.	Гружу в резервное хранилище.
Will they see through this?	Раскусят ли они это?
Operator	Оператор
"We got one!"	"Есть контакт!"
Aww, man!	Эх, блин!
Target located!	Цель обнаружена!
That's too cruel!	Это слишком жестоко!
I'll resume my search.	Продолжу поиски.
I'll cure some wounds.	Подлечу раны.
Discount karate!	Каратэ со скидкой!
I'm great at sucking up!	Я мастер высасывать!
I sucked up mana.	Высосал ману.
I'll try spinning!	Попробую покрутиться!
I'll demolish it!	Снесу это!
Super Tornado Spin!	Супер-смерч-крутилка!
I'll put a marker here.	Поставлю метку тут.
The enemy uses poison.	Враг травит ядом.
May Day! May Day!	На помощь! На помощь!
I don't see the target.	Цели не вижу.
I'll try "Sleep"!	Попробую "Сон"!
I'll set a bomb!	Заложу бомбу!
You can do it!	Ты сможешь!
I'll save right now.	Сохранюсь прямо сейчас.
Time for a cunning disguise!	Время хитрой маскировки!
1,000% Hero	Герой на 1000%
"I'm 1,000%! What are you?"	"Я на 1000%! А ты?"
I died!?	Я сдох!?
Ha ha, found ya!	Ха-ха, нашёл!
Did you give it 1,000%?	Ты выложился на 1000%?
Until I find him...	Пока не найду его...
This is my 1,000%	Это мои 1000%
This power is mine.	Эта сила — моя.
Spinja!	Крутильня!
1,000пј… Fever!	Жар 1000%!
1,000% Tornado!	Смерч на 1000%!
It's 1,000% brighter than normal.	Ярче обычного на 1000%.
Oh no, it's poison.	О нет, это яд.
I shouldn't have done that!	Не надо было так!
Where is he?	Где он?
I hope they eat this.	Надеюсь, съедят.
1,000% bomb!	Бомба на 1000%!
Reinforce them!	Подкрепи их!
It'll suck if I die...	Будет гадко, если сдохну...
I can't wait!	Не могу ждать!
Aquamarine Hero	Аквамарин-герой
"I'm here to do something pleasant."	"Я здесь ради чего-то приятного."
Did I do well?	Я хорошо справился?
I found you, evil-doer!	Нашёл тебя, злодей!
Hold on a little longer!	Держись ещё чуть-чуть!
This is so creepy.	Какая жуть.
Heal organically!	Лечись натурально!
Aqua Cure!	Аква-лечение!
Aqua Steal!	Аква-кража!
Aqua Spin!	Аква-крутилка!
I've got no choice!	У меня нет выбора!
Aqua Tornado!	Аква-смерч!
Fire's overrated...	Огонь переоценён...
That was poison!	Это был яд!
Urgh... Darn!	Ургх... Чёрт!
Did I get lost again?	Опять заблудился?
Aqua sleep!	Аква-сон!
Hmhmhm!	Хмхмхм!
I'll destroy as many as I can!	Уничтожу сколько смогу!
Please help us!	Помогите нам!
Just in case...	На всякий случай...
Surprise attack!	Внезапный удар!
Brother	Братец
"I'll kill you!"	"Я тебя убью!"
Please let me rest.	Дайте отдохнуть.
I thought you were here.	Я думал, ты тут.
You killed Mist!	Ты убил Мист!
Darnnit!	Чёрт!
I'm not done yet!	Я ещё не закончил!
I'll slay you all!	Перебью вас всех!
Please light us up.	Посветите нам.
Not poison again!	Только не яд опять!
I feel sleepy.	Клонит в сон.
Well then...	Ну что ж...
Now Saving...	Сохраняюсь...
Sister	Сестрица
"Get Down!"	"На землю!"
I wanted to be with my brother a bit longer...	Хотела ещё побыть с братом...
The Overlord is here, Brother!	Повелитель здесь, братец!
B-Brother!	Б-братец!
I won't give up!	Я не сдамся!
You shall fall!	Ты падёшь!
I feel safer when it's lit.	Спокойнее, когда светло.
M-my body!	М-моё тело!
Huh...?	А...?
Please sleep!	Усните, пожалуйста!
You can see the savings!	Вот она, экономия!
Exalted Grandson	Высочайший внук
"Huh? You can't buy levels with money?"	"А? Уровни за деньги не купить?"
It can't be!	Не может быть!
I found a cool creature!	Нашёл крутую тварь!
Hmph, you tried too hard to look cool.	Хмф, слишком хотел казаться крутым.
I won't die yet!	Я ещё не умру!
Isn't this is a bit ridiculous?	Это не слегка нелепо?
Why me!?	Почему я!?
Sorry!	Прости!
You're annoying!	Ты бесишь!
How blasphemous!	Какое кощунство!
Alright, time to die!	Ладно, пора умирать!
I have to make it bright, right?	Надо сделать светло, да?
This is so dirty!	Какая грязь!
Why am I so sleepy?	Почему так клонит в сон?
Ahh?	Аа?
Sleep is good for your skin.	Сон полезен для кожи.
Save! Save!	Сохрани! Сохрани!
Revived Hero	Воскресший герой
"Once again, in prime time..."	"Снова в золотой час..."
That's the entertainment biz for ya!	Вот она, эстрада!
I love how you dance.	Люблю, как ты танцуешь.
Why am I lost?	Почему я заблудился?
From the bottom of my heart!	От всего сердца!
Anti-blitz trance!	Антиблиц-транс!
Blood Dance!	Кровавый танец!
Magic Dance!	Магический танец!
Extreme Spin!	Жёсткая крутилка!
Volcano Dance!	Вулканий танец!
Tornado Dance!	Танец смерча!
Our future is looking brightney!	Будущее сияет по-бритни!
Poison is dangerous!	Яд опасен!
Am I lost again?	Опять заблудился?
I want to revive!	Хочу воскреснуть!
One-Two Hero	Герой раз-два
"Can you handle my Combination Punch?"	"Потянешь мой комбо-удар?"
I coulda been a contender.	Я мог выйти в люди.
Found him!	Нашёл его!
Did I get lost?	Я заблудился?
You haven't seen the last of me.	Это ещё не конец.
I'll do my best!	Выложусь на полную!
Jungle Rumble!	Джунглевый грохот!
Fever Punch!	Удар лихорадки!
Typhoon!	Тайфун!
We need a torch right here.	Тут нужен факел.
It's so paralyzing!	Так сковывает!
Where's the Overlord?	Где Повелитель?
Yes, please.	Да, пожалуйста.
We can watch it again later.	Потом пересмотрим.
How do I look?	Как я выгляжу?
Eco-Warrior	Эко-воин
"On your bike!"	"На велик!"
Should've pedaled harder...	Надо было крутить сильнее...
I found quite a specimen!	Вот это экземпляр!
What kind of poison is this!?	Что это за яд!?
Mmm...	Ммм...
He's not around?	Его нет поблизости?
Health Hazard	Угроза здоровью
"Pedal to the metal!"	"Газуй до упора!"
Should've driven faster...	Надо было жать сильнее...
You ain't goin' anywhere, buddy.	Никуда не денешься, дружок.
I can't find him.	Не могу найти его.
I'm dying...from venom?	Погибаю... от яда?
I feel numb... I must be dying.	Немею... Видать, помираю.
If I sleep...I'll die.	Усну... и помру.
Come on out!	Выходи!
Fierce Warrior	Ярый воин
"You have offended me..."	"Ты меня оскорбил..."
You're gonna kill me?	Ты меня убьёшь?
Am I a genius?	Я гений?
I see the light.	Вижу свет.
Shocking!	Шок!
Why isn't he here?	Почему его нет?
Private Eye	Частный сыщик
"Nothing here is...eye-catching."	"Тут ничего... глаз не цепляет."
I can't breathe!	Не могу дышать!
That was easy!.	Это было легко!.
Let's light it up.	Давай зажжём.
Stop poisoning me!	Хватит меня травить!
The usual numbness!?	Обычное онемение!?
Maybe I should rest a bit.	Может, чуть отдохну.
Let's shake things up!	Давай встряхнём!
Wandering Hero	Странствующий герой
"Do you read the Unwritten Book of the Road?"	"Читал неписаный кодекс дороги?"
Maybe I'm not the tyranny of evil men.	Может, я не тирания злых людей.
You're the weak...	Ты слабак...
Done already!?	Уже всё!?
We should have shotguns.	Надо было взять дробовики.
What just happened was a miracle!	Это было чудо!
Time to get into character.	Пора войти в роль.
Mana Drain!	Кража маны!
Twirl!	Крутись!
Tornado!	Смерч!
I'm lighting this up!	Зажигаю свет!
I'm too tired for this.	Я слишком устал для этого.
You ain't talkin' your way outta this.	Болтовнёй не отвертишься.
This is a tasty burger!	Вкусный бургер!
Barrel bomb!	Бочка-бомба!
C'mon, let's go!	Давай, пошли!
I'm saving this.	Это сохраню.
Dark Mage	Тёмный маг
"Double accumulation for me."	"Двойное накопление мне."
Where are my sisters?	Где мои сёстры?
I thought so.	Так я и думал.
Mystic Box!	Мистический ящик!
Spirit of flames...	Дух пламени...
I don't have a cure!	У меня нет лекарства!
I don't have an answer for this.	У меня нет ответа.
I feel like I'm lost.	Кажется, я заблудился.
Have a bite!	Кусни!
Agsmogstic	Смогностик
"Littering may be bad for the environment."	"Мусорить, быть может, вредно для среды."
I'm in worse shape than our environment.	Я в худшей форме, чем природа.
That's a lot of unrecyclable waste.	Сколько неперерабатываемого мусора.
Fritz!	Фриц!
Shall we try this again?	Попробуем ещё раз?
Like the flame of child literacy.	Как пламя детской грамоты.
Poison...?	Яд...?
No...I mustn't sleep now.	Нет... нельзя спать сейчас.
Is there a recycle bin around here?	Тут есть урна для вторсырья?
Try some!	Попробуй!
Weather Caster	Ведущий погоды
"Tomorrow will be sunny, rainy, cloudy or snowy."	"Завтра будет ясно, дождь, облачно иль снег."
I couldn't predict this!	Этого я не предсказал!
My forecast was right!	Прогноз сбылся!
Killgore!	Смерчгром!
Just relax. I'll find him next time.	Расслабься. В следующий раз найду.
Let the healing roll right in.	Пусть лечение накатит.
My forecast is pain!	Мой прогноз — боль!
Heat Wave!	Волна жары!
Today's typhoon!	Сегодня тайфун!
Can you feel it?	Чувствуешь?
I'm going to sleep for now.	Пока посплю.
Darn! Where is he!?	Чёрт! Где он!?
Wanna taste?	Хочешь на вкус?
Non-Imitational	Бесподделка
"I'm so stroooong!"	"Я такой сииильный!"
This data is corrupted.	Данные повреждены.
I found himв™Є	Нашёл его♪
This isn't the right path.	Это не тот путь.
I won't die!	Я не умру!
Activate cheat code!	Включаю код!
Burn Away!	Сгори!
I'm hitting the torch button now.	Жму кнопку факела.
Poison is so annoying.	Яд так бесит.
Paralysis...	Паралич...
Sleep attacks are so lame.	Сонные атаки — отстой.
How do I activate no clipping?	Как пройти сквозь стены?
Here, eat this.	На, съешь.
I'm the master!	Я мастер!
Better save twice.	Лучше сохранить дважды.
Reckless Is He	Безрассуден он
"Your overconfidence is your weakness."	"Твоя самоуверенность — твоя слабость."
I never shoulda left Diego's Bar.	Не надо было уходить из бара Диего.
You've failed, your highness.	Ты проиграл, ваше высочество.
Do I gotta start over?	Надо начинать заново?
Attack boost!	Усиление атаки!
16 Blasters!	16 бластеров!
I'll put a torch here.	Поставлю факел тут.
Neon Lighter	Неоновая зажигалка
"Please don't call my name!"	"Пожалуйста, не зовите меня по имени!"
This is all a lie!	Всё это ложь!
I found him!	Нашёл его!
A-again!	О-опять!
Hmph, Barely a scratch.	Хмф, царапина.
Now, come to me.	А теперь иди ко мне.
Burn to ashes!	Сгори дотла!
Disappear!	Исчезни!
N-numb...	Н-немею...
Dream demon's magic...?	Магия демона сна...?
Come out please!	Выходи, прошу!
Just get them!	Просто бери их!
Brute	Громила
"Die again, moron."	"Сдохни ещё раз, болван."
What are you up to!?	Ты чего задумал!?
I should just slay him...	Надо его просто зарезать...
I'll make up for it!	Я это заглажу!
I hate spinach.	Ненавижу шпинат.
Hey, you!	Эй, ты!
HP's suckin' out!	ХП высасывает!
Sucking mana out!	Высасываю ману!
64 times faster than before!	В 64 раза быстрее!
Let's see some heat!	Давай жару!
It's dusty!	Пыльно!
I feel sick.	Меня мутит.
Grrrhh!	Грррхх!
I'm not asleep!	Я не сплю!
It's lonely around here.	Тут одиноко.
Shut up!	Заткнись!
I hope it's tasty.	Надеюсь, вкусно.
Explode!	Взорвись!
Come quickly!	Быстрее иди!
Time to write in my diary.	Пора писать в дневник.
We can do this now!?	Мы это можем сейчас!?
Devil-Tongued Vocalist	Адский вокалист
"I had a great time at the zoo."	"В зоопарке было супер."
Darn this mad city!	Чёрт этот безумный город!
The Overlord may be 666, but we're 777!	Повелитель — 666, а мы — 777!
Now I'm all alone.	Теперь я один.
Rock Lords, give me one more chance!	Рок-лорды, дайте ещё шанс!
Come on! 	Давай! 
Maybe I'm just lazy...	Может, я просто ленивый...
Eat and breed!	Жри и плодись!
My Game Play Log.	Журнал моей игры.
Possessed Guitarist	Одержимый гитарист
"That felt great."	"Это было огонь."
I can't believe it!	Не верю!
You're pretty good!	Ты ничего так!
I kinda think I'm kinda lost or something.	Типа я вроде как заблудился.
Blaze it up!	Зажигай!
I'll leave it to you, honey!	Остальное за тобой, милая!
Now I'm a bit relieved.	Теперь чуть легче.
Drummer of the Damned	Барабанщик проклятых
"It's my turn to break something."	"Моя очередь что-нибудь сломать."
But, we never lose!	Но мы никогда не проигрываем!
I think I found the Overlord guy.	Кажется, нашёл того Повелителя.
They're pretty impressive...	Они впечатляют...
Can I rest here for awhile?	Можно тут чуть передохнуть?
Global Sand!	Глобальный песок!
Save, save, save...	Сохрани, сохрани, сохрани...
Here is where I fall.	Здесь я падаю.
LacKing	Озеркороль
"Please don't step on me."	"Пожалуйста, не наступайте на меня."
I'm trying not to make a big splash.	Стараюсь не поднимать волны.
I hope I can take him home with me.	Надеюсь, смогу утащить его домой.
I want to go home.	Хочу домой.
Huh? Where are they?	А? Где они?
Hydring Hero	Гидрогерой
"Cut off one head, and two more will take its place."	"Срубишь одну голову — вырастут две."
I hope two more guys are out there.	Надеюсь, там ещё двое.
Lemme see the map.	Дай глянуть карту.
Dragon Breath!	Дыхание дракона!
Darn, it's poison!	Чёрт, это яд!
M-my body can't move!	Т-тело не слушается!
S-sleepy...	С-спать...
Where is the Overlord?	Где Повелитель?
Here. Have some rations.	На. Держи паёк.
They'll never spot me!	Меня ни за что не заметят!
No Need for Antennae!	Усики ни к чему!
"I'm hungry. Let's eat!"	"Я голоден. Давай жрать!"
Sa...yo...na...ra? What does that mean?	Са...ё...на...ра? Это вообще что?
Oh! I found my food!	О! Нашёл еду!
Hmm...this is so bizarre.	Хмм...это так странно.
Our hearts fed the fire!	Наши сердца кормили огонь!
Poisonous as a cobra...	Ядовит, как кобра...
Did I eat too much spicy curry!?	Переел острого карри!?
I'm hungry, so I should go to sleep.	Голоден, так что пора спать.
Ah, where's the food? Where's the food?	А, где еда? Где еда?
You got lucky this time.	Тебе повезло в этот раз.
You're the Overlord? What low resolution...	Ты Повелитель? Какое низкое разрешение...
This is getting monotonous.	Уже однообразно.
Patching up.	Подлатаюсь.
Gimme a break!	Дай передохнуть!
Drain gain!	Высос-плюс!
Spin kick to the face!	Удар с разворота в морду!
Firagwa!	Фирагва!
Marking the path.	Мечу путь.
It's really numbing!	Сильно немеет!
I don't have time to sleep now...	Сейчас некогда спать...
*sigh*	*вздох*
Who do you think I am!?	Ты вообще знаешь, кто я!?
Preppy Heroine	Мажорка-героиня
"Hello, my name is June."	"Здравствуйте, меня зовут Июнь."
I miscalculated something.	Что-то не так посчитал.
Overlords don't kick you back.	Повелители в ответ не пинаются.
Hurricane Shot!	Ураганный выстрел!
I don't sleep much.	Я мало сплю.
Lazy Hero	Ленивый герой
"Hmm...I'm bored."	"Хмм...мне скучно."
I shouldn't have done this!	Не надо было этого делать!
Great...!	Отлично...!
You really died?	Ты правда сдох?
Geez, what the heck is going on!?	Ёлки, что, чёрт, творится!?
Setting the torch.	Ставлю факел.
Ahhhh!	Ааааа!
I'm seriously drowsy!	Меня серьёзно клонит!
Hahaha...	Хахаха...
Relaxed Hero	Расслабленный герой
"...Nonsense."	"...Чепуха."
Ungh, not again!	Унгх, опять!
Finally!	Наконец-то!
Am I lost?	Я заблудился?
How 'bout here?	Как насчёт тут?
Grr. It hurts.	Грр. Больно.
I reckon I owe ya some pain.	Похоже, должен тебе боли.
Ha, I tracked you down.	Ха, выследил тебя.
I gotta start over.	Надо начать заново.
Talk about poison...	Вот это яд...
I hate paralysis!	Ненавижу паралич!
I don't see him.	Его не вижу.
Just burn!	Просто гори!
It's my new look!	Это мой новый образ!
People are selfish...	Люди эгоисты...
You're not what I was expecting.	Ты не то, чего я ждал.
I better start over.	Лучше начать заново.
Repairs underway.	Идёт ремонт.
I'll take care of you!	Я о тебе позабочусь!
Shine bright!	Сияй ярко!
Let me sleep.	Дай поспать.
I'm in a bad mood.	Я в дурном настроении.
Hello!	Привет!
I copied my friend's save data!	Я скопировал сохранение друга!
Aha, there you are!	Ага, вот ты где!
What? This isn't the right place?	Что? Это не то место?
Urrah!	Урра!
Engulf in flames!	Охвати огнём!
One more torch!	Ещё один факел!
Poisoned!	Отравлен!
Numbness!	Онемение!
Fatigue is the best futon.	Усталость — лучшая перина.
Wanna bite?	Хочешь куснуть?
Younger Brother	Младший брат
"I'll get experience now."	"Сейчас наберу опыт."
I didn't save!	Я не сохранился!
Got ya!	Попался!
You got knocked out!?	Тебя вырубили!?
Where's he hiding?	Где он прячется?
Middle Brother	Средний брат
"Keep it down, Rook."	"Тише, Грач."
I didn't save yet!	Я ещё не сохранился!
I found him! I found him!	Нашёл его! Нашёл его!
Stop doing that!	Прекрати это!
Hmm?	Хмм?
I'm sleepy.	Спать охота.
Older Brother	Старший брат
"Look to me for a role model."	"Бери с меня пример."
I never saved from the start!	С самого начала не сохранялся!
I'll show 'em what a Big Bro can do!	Покажу, на что способен Старший!
You killed my brother!	Ты убил моего брата!
Hmmm?	Хммм?
